Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	 Order          	 Class    
NIAB-ARS_B.indTharparkar_mat_pri_1.0	GCF_029378745.1	GCA_029378745.1	Bos indicus	9915	 Artiodactyla   	 Mammalia 
UOA_Brahman_1	GCF_003369695.1	GCA_003369695.2	Bos indicus x Bos taurus	30522	 Artiodactyla   	 Mammalia 
ARS-OSU_banteng_1.0	GCF_032452875.1	GCA_032452875.1	Bos javanicus	9906	 Artiodactyla   	 Mammalia 
NWIPB_WYAK_1.1	GCF_027580195.1	GCA_027580195.2	Bos mutus	72004	 Artiodactyla   	 Mammalia 
ARS-UCD2.0	GCF_002263795.3	GCA_002263795.4	Bos taurus	9913	 Artiodactyla   	 Mammalia 
NDDB_SH_1	GCF_019923935.1	GCA_019923935.1	Bubalus bubalis	89462	 Artiodactyla   	 Mammalia 
PCC_UOA_SB_1v2	GCF_029407905.1	GCA_029407905.2	Bubalus kerabau	3119969	 Artiodactyla   	 Mammalia 
Takin1.1	GCF_023091745.1	GCA_023091745.2	Budorcas taxicolor	37181	 Artiodactyla   	 Mammalia 
mCalJa1.2.pat.X	GCF_011100555.1	GCA_011100555.2	Callithrix jacchus	9483	 Primates       	 Mammalia 
GSC_fseal_2.0	GCF_003265705.2	GCA_003265705.2	Callorhinus ursinus	34884	 Carnivora      	 Mammalia 
mCalLat2.hap1	GCF_048772815.1	GCA_048772815.1	Callospermophilus lateralis	76772	 Rodentia       	 Mammalia 
ASM4877302v1	GCF_048773025.1	GCA_048773025.1	Camelus bactrianus	9837	 Artiodactyla   	 Mammalia 
mCamDro1.pat	GCF_036321535.1	GCA_036321535.1	Camelus dromedarius	9838	 Artiodactyla   	 Mammalia 
BCGSAC_Cfer_1.0	GCF_009834535.1	GCA_009834535.1	Camelus ferus	419612	 Artiodactyla   	 Mammalia 
VMU_Caureus_v.1.0	GCF_053574225.1	GCA_053574225.1	Canis aureus	68724	 Carnivora      	 Mammalia 
mCanLup2.hap1	GCF_048164855.1	GCA_048164855.1	Canis lupus baileyi	143281	 Carnivora      	 Mammalia 
ASM325472v2	GCF_003254725.2	GCA_003254725.2	Canis lupus dingo	286419	 Carnivora      	 Mammalia 
UU_Cfam_GSD_1.0	GCF_011100685.1	GCA_011100685.1	Canis lupus familiaris	9615	 Carnivora      	 Mammalia 
ARS1.2	GCF_001704415.2	GCA_001704415.2	Capra hircus	9925	 Artiodactyla   	 Mammalia 
serow.2	GCF_032405125.1	GCA_032405125.2	Capricornis sumatraensis	34865	 Artiodactyla   	 Mammalia 
Tarsius_syrichta-2.0.1	GCF_000164805.1	GCA_000164805.2	Carlito syrichta	1868482	 Primates       	 Mammalia 
mCasCan1.hap1v2	GCF_047511655.1	GCA_047511655.2	Castor canadensis	51338	 Rodentia       	 Mammalia 
mCavPor4.1	GCF_034190915.1	GCA_034190915.1	Cavia porcellus	10141	 Rodentia       	 Mammalia 
Cebus_imitator-1.0	GCF_001604975.1	GCA_001604975.1	Cebus imitator	2715852	 Primates       	 Mammalia 
CerSimSim1.0	GCF_000283155.1	GCA_000283155.1	Ceratotherium simum simum	73337	 Perissodactyla 	 Mammalia 
Caty_1.0	GCF_000955945.1	GCA_000955945.1	Cercocebus atys	9531	 Primates       	 Mammalia 
ASM1932006v1	GCF_019320065.1	GCA_019320065.1	Cervus canadensis	1574408	 Artiodactyla   	 Mammalia 
mCerEla1.1	GCF_910594005.1	GCA_910594005.1	Cervus elaphus	9860	 Artiodactyla   	 Mammalia 
CEY_v1	GCA_010411085.1		Cervus hanglu yarkandensis	84702	 Artiodactyla   	 Mammalia 
ChiLan1.0	GCF_000276665.1	GCA_000276665.1	Chinchilla lanigera	34839	 Rodentia       	 Mammalia 
mChiNiv1.1	GCF_950005125.1	GCA_950005125.1	Chionomys nivalis	269649	 Rodentia       	 Mammalia 
mChlSab1.0.hap1	GCF_047675955.1	GCA_047675955.1	Chlorocebus sabaeus	60711	 Primates       	 Mammalia 
mChoDid1.pri	GCF_015220235.1	GCA_015220235.1	Choloepus didactylus	27675	 Pilosa         	 Mammalia 
ChrAsi1.0	GCF_000296735.1	GCA_000296735.1	Chrysochloris asiatica	185453	 Afrosoricida   	 Mammalia 
BLF_Eptnil_asm_v1.0	GCA_030846915.1		Cnephaeus nilssonii	3371016	 Rodentia       	 Mammalia 
Cang.pa_1.0	GCF_000951035.1	GCA_000951035.1	Colobus angolensis palliatus	336983	 Primates       	 Mammalia 
ConCri1.0	GCF_000260355.1	GCA_000260355.1	Condylura cristata	143302	 Eulipotyphla   	 Mammalia 
CriGri_1.0	GCF_000223135.1	GCA_000223135.1	Cricetulus griseus	10029	 Rodentia       	 Mammalia 
